EventID,EventName,Type,Description
E001,Mica Sage Poetry Reading,Author Talk,Join us on February 1st in-store for local poet Mica Sage's Debut poetry publication reading. Vegan Bacon is a collection of short fiction stores and poetry centered around what it means to grow and heal in this crazy world we live in.
E002,Poor Magazine Untour,Author Talk,"POOR Magazine is poor people led/Indigenous people led, grassroots, non-profit arts organization dedicated to providing revolutionary media access, art, education, and advocacy to silenced youth, adults, and elders in poverty across Mama Earth. POOR Magazine hosts POOR Press/Prensa POBRE a poor and indigenous people led press dedicated to publishing the books and scholarship of youth, adults, and elders in poverty locally and globally. Our #1 goal is to disseminate the wisdom of Poverty Scholarship and the necessary stories of Poverty Skolaz as far and wide as possible and to support these skolaz who are humbly sharing their stories."
E003,Aaron Scott on Bring Back Your People,Author Talk,"Join us Sunday, January 26th at 6 p.m. for a conversation with Aaron Scott, author of Bring Back Your People: Ten Ways Regular Folks Can Put a Dent in White Christian Nationalism."
E004,A Virtual Tour of Dhamma Sites,Virtual Tour,This is a Pariyatti Presents... event with Dr. Hamir Ganla in January 2025. Dr. Ganla takes us on a virtual tour of the various Dhamma sites related to the Buddha and his teachings.
E005,Interview on Practicing Vipassana Meditation,Interview,"American musician Rivers Cuomo, best known as the lead vocalist, guitarist, and songwriter of the rock band Weezer, will join us on Zoom on February 18 to talk about his practice of Vipassana Meditation.
Rivers will be interviewed by Kory Goldberg, co-author of the pilgrimage guide 'Along the Path'."
E006,Magic the Gathering Casual Play,Game Night,Join us for the Casual Play of Magic the Gathering in the Cafe
E007,Pokemon League,Game Night,"Join us for Pokemon League every Wednesday in the cafe from 4 to 7pm! If you bring your Pokemon League ID number, you get a free promo pack!"
E008,Jane Austen Book Club,Book Club,"Are you a lover of Jane Austen's works? Or perhaps new to the Austen world and curious to dip your toes? Adventures Underground is proud to present the Jane Austen Book Club. Each month, we will focus on a single Jane Austen title and meet the final Saturday of the month to discuss. "
E009,Writing Nature with Cameron Walker and Jane Hu,Writing Workshop,"In her radiant short stories, award-winning author Cameron Walker brings readers to the water edge, where the known world collides with magic and with the mysterious depths of the human heart"
E010,Decent Social Skills Presents: Extending Invitations,Skills Class,About Decent Social Skills: Practice being social without worrying about messing up! That's what this group aims to do. We take exercises from various social skills classes we've either attend
E011,Knife Sharpening with Darin Gagner,Service,We are excited to host Darin Gagner of Valley Sharp for a day of knife sharpening services at the shop! Sign up for a slot and browse our selection of cookbooks while Darin sharpens your knives (up to 3).
E012,In Person Author Talk: Taku Kando,Author Talk,"Book Larder is excited to welcome Taku Kondo on Tuesday, March 25th for an author talk and book signing to celebrate his debut cookbook, Coastal Harvest : Fish - Forage - Feast! Taku, the former sushi chef behind @OutdoorChefLife, takes readers on an epic adventure of the Pacific Coast's waterways and coastal forests, teaching how to sustainably harvest your own food, master preparation techniques, and make creative dishes. Moderator TBD."
E013,Books and Beats Book Drive,Book Drive,"The Station Coffee Shop in collaboration with Estelita's Library. The mission is to receive 500 BIPOC Children Books & Books on the Banned List. Food, music provided."
