GenreID,GenreName
G001,Cooperative
G002,New and Used Books
G003,Used Books Only
G004,Consignment
G005,Buddhist Teaching
G006,Meditation
G007,Metaphysical
G008,Nonfiction 
G009,Western
G010,Cowboy
G011,Art and Photography
G012,Comics
G013,Pop-Culture Nerd Central
G014,Technical
G015,Rare and Out-of Print 
G016,Printing Press
G017,Cookbooks
G018,Queer
G019,Occult/Pagan
G020,Social Justice
G021,Classics
G022,Anarchy
G023,Local Culture and Environment
G024,Christian Literature
G025,Educational and Stem 
G026,Poetry
G027,Architecture
G028,Sci-fi
G029,Horror
G030,Mystery
G031,Fantasy
G032,Childrens
G033,Young Adult
G034,Fiction
G035,History
G036,Religion
G037,Science
G038,Business & Economics
G039,Natural History
G040,Pacific Northwest 
G041,Manga
G042,Radical
G043 ,Romance
